Product Item Number,Product Type,Quantity Produced,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Primary Chakra,Primary is Boon,Secondary Chakra,Secondary is Boon,Tier
6997,Tea,1,5998,,,,,,,Boon,,,
6998,Tea,1,5999,,,,,,,Bane,,,
6997,Tincture,1,5998,,,,,,,Boon,,,
6998,Tincture,1,5999,,,,,,,Bane,,,
6997,Salve,1,5998,,,,,,,Boon,,,
6998,Salve,1,5999,,,,,,,Bane,,,
6997,Decoction,1,5998,,,,,,,Boon,,,
6998,Decoction,1,5999,,,,,,,Bane,,,
6997,Bath,1,5998,,,,,,,Boon,,,
6998,Bath,1,5999,,,,,,,Bane,,,
6997,Incense,1,5998,,,,,,,Boon,,,
6998,Incense,1,5999,,,,,,,Bane,,,
6191,Tea,1,,,,,,,Earth,Boon,,,1
6193,Tea,1,,,,,,,Earth,Boon,,,2
6195,Tea,1,,,,,,,Earth,Boon,,,3
6197,Tea,2,,,,,,,Earth,Boon,,,4
6192,Tea,1,,,,,,,Earth,Bane,,,1
6194,Tea,1,,,,,,,Earth,Bane,,,2
6196,Tea,1,,,,,,,Earth,Bane,,,3
6198,Tea,2,,,,,,,Earth,Bane,,,4
6191,Tincture,1,,,,,,,Earth,Boon,,,1
6193,Tincture,1,,,,,,,Earth,Boon,,,2
6195,Tincture,1,,,,,,,Earth,Boon,,,3
6197,Tincture,2,,,,,,,Earth,Boon,,,4
6192,Tincture,1,,,,,,,Earth,Bane,,,1
6194,Tincture,1,,,,,,,Earth,Bane,,,2
6196,Tincture,1,,,,,,,Earth,Bane,,,3
6198,Tincture,2,,,,,,,Earth,Bane,,,4
6191,Salve,1,,,,,,,Earth,Boon,,,1
6193,Salve,1,,,,,,,Earth,Boon,,,2
6195,Salve,1,,,,,,,Earth,Boon,,,3
6197,Salve,2,,,,,,,Earth,Boon,,,4
6192,Salve,1,,,,,,,Earth,Bane,,,1
6194,Salve,1,,,,,,,Earth,Bane,,,2
6196,Salve,1,,,,,,,Earth,Bane,,,3
6198,Salve,2,,,,,,,Earth,Bane,,,4
6191,Decoction,1,,,,,,,Earth,Boon,,,1
6193,Decoction,1,,,,,,,Earth,Boon,,,2
6195,Decoction,1,,,,,,,Earth,Boon,,,3
6197,Decoction,2,,,,,,,Earth,Boon,,,4
6192,Decoction,1,,,,,,,Earth,Bane,,,1
6194,Decoction,1,,,,,,,Earth,Bane,,,2
6196,Decoction,1,,,,,,,Earth,Bane,,,3
6198,Decoction,2,,,,,,,Earth,Bane,,,4
6191,Bath,1,,,,,,,Earth,Boon,,,1
6193,Bath,1,,,,,,,Earth,Boon,,,2
6195,Bath,1,,,,,,,Earth,Boon,,,3
6197,Bath,2,,,,,,,Earth,Boon,,,4
6192,Bath,1,,,,,,,Earth,Bane,,,1
6194,Bath,1,,,,,,,Earth,Bane,,,2
6196,Bath,1,,,,,,,Earth,Bane,,,3
6198,Bath,2,,,,,,,Earth,Bane,,,4
6191,Incense,1,,,,,,,Earth,Boon,,,1
6193,Incense,1,,,,,,,Earth,Boon,,,2
6195,Incense,1,,,,,,,Earth,Boon,,,3
6197,Incense,2,,,,,,,Earth,Boon,,,4
6192,Incense,1,,,,,,,Earth,Bane,,,1
6194,Incense,1,,,,,,,Earth,Bane,,,2
6196,Incense,1,,,,,,,Earth,Bane,,,3
6198,Incense,2,,,,,,,Earth,Bane,,,4
6291,Tea,1,,,,,,,Water,Boon,,,1
6293,Tea,1,,,,,,,Water,Boon,,,2
6295,Tea,1,,,,,,,Water,Boon,,,3
6297,Tea,2,,,,,,,Water,Boon,,,4
6292,Tea,1,,,,,,,Water,Bane,,,1
6294,Tea,1,,,,,,,Water,Bane,,,2
6296,Tea,1,,,,,,,Water,Bane,,,3
6298,Tea,2,,,,,,,Water,Bane,,,4
6291,Tincture,1,,,,,,,Water,Boon,,,1
6293,Tincture,1,,,,,,,Water,Boon,,,2
6295,Tincture,1,,,,,,,Water,Boon,,,3
6297,Tincture,2,,,,,,,Water,Boon,,,4
6292,Tincture,1,,,,,,,Water,Bane,,,1
6294,Tincture,1,,,,,,,Water,Bane,,,2
6296,Tincture,1,,,,,,,Water,Bane,,,3
6298,Tincture,2,,,,,,,Water,Bane,,,4
6291,Salve,1,,,,,,,Water,Boon,,,1
6293,Salve,1,,,,,,,Water,Boon,,,2
6295,Salve,1,,,,,,,Water,Boon,,,3
6297,Salve,2,,,,,,,Water,Boon,,,4
6292,Salve,1,,,,,,,Water,Bane,,,1
6294,Salve,1,,,,,,,Water,Bane,,,2
6296,Salve,1,,,,,,,Water,Bane,,,3
6298,Salve,2,,,,,,,Water,Bane,,,4
6291,Decoction,1,,,,,,,Water,Boon,,,1
6293,Decoction,1,,,,,,,Water,Boon,,,2
6295,Decoction,1,,,,,,,Water,Boon,,,3
6297,Decoction,2,,,,,,,Water,Boon,,,4
6292,Decoction,1,,,,,,,Water,Bane,,,1
6294,Decoction,1,,,,,,,Water,Bane,,,2
6296,Decoction,1,,,,,,,Water,Bane,,,3
6298,Decoction,2,,,,,,,Water,Bane,,,4
6291,Bath,1,,,,,,,Water,Boon,,,1
6293,Bath,1,,,,,,,Water,Boon,,,2
6295,Bath,1,,,,,,,Water,Boon,,,3
6297,Bath,2,,,,,,,Water,Boon,,,4
6292,Bath,1,,,,,,,Water,Bane,,,1
6294,Bath,1,,,,,,,Water,Bane,,,2
6296,Bath,1,,,,,,,Water,Bane,,,3
6298,Bath,2,,,,,,,Water,Bane,,,4
