Product Item Number,Product Type,Quantity Produced,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Primary Chakra,Primary is Boon,Secondary Chakra,Secondary is Boon,Tier
6101,Tea,1,,,,,,,Earth,Boon,,,1
6103,Tea,1,,,,,,,Earth,Boon,,,2
6105,Tea,1,,,,,,,Earth,Boon,,,3
6107,Tea,2,,,,,,,Earth,Boon,,,4
6102,Tea,1,,,,,,,Earth,Bane,,,1
6104,Tea,1,,,,,,,Earth,Bane,,,2
6106,Tea,1,,,,,,,Earth,Bane,,,3
6108,Tea,2,,,,,,,Earth,Bane,,,4
6101,Tincture,1,,,,,,,Earth,Boon,,,1
6103,Tincture,1,,,,,,,Earth,Boon,,,2
6105,Tincture,1,,,,,,,Earth,Boon,,,3
6107,Tincture,2,,,,,,,Earth,Boon,,,4
6102,Tincture,1,,,,,,,Earth,Bane,,,1
6104,Tincture,1,,,,,,,Earth,Bane,,,2
6106,Tincture,1,,,,,,,Earth,Bane,,,3
6108,Tincture,2,,,,,,,Earth,Bane,,,4
6101,Salve,1,,,,,,,Earth,Boon,,,1
6103,Salve,1,,,,,,,Earth,Boon,,,2
6105,Salve,1,,,,,,,Earth,Boon,,,3
6107,Salve,2,,,,,,,Earth,Boon,,,4
6102,Salve,1,,,,,,,Earth,Bane,,,1
6104,Salve,1,,,,,,,Earth,Bane,,,2
6106,Salve,1,,,,,,,Earth,Bane,,,3
6108,Salve,2,,,,,,,Earth,Bane,,,4
6101,Decoction,1,,,,,,,Earth,Boon,,,1
6103,Decoction,1,,,,,,,Earth,Boon,,,2
6105,Decoction,1,,,,,,,Earth,Boon,,,3
6107,Decoction,2,,,,,,,Earth,Boon,,,4
6102,Decoction,1,,,,,,,Earth,Bane,,,1
6104,Decoction,1,,,,,,,Earth,Bane,,,2
6106,Decoction,1,,,,,,,Earth,Bane,,,3
6108,Decoction,2,,,,,,,Earth,Bane,,,4
6101,Bath,1,,,,,,,Earth,Boon,,,1
6103,Bath,1,,,,,,,Earth,Boon,,,2
6105,Bath,1,,,,,,,Earth,Boon,,,3
