Product Item Number,Product Type,Quantity Produced,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Primary Chakra,Primary is Boon,Secondary Chakra,Secondary is Boon,Tier
6762,Tea,3,5684,5784,,,,,Thought,,Light,,
6199,Tincture,1,5819,,,,,,Earth,Boon,,,3
6299,Tincture,1,5829,,,,,,Water,Boon,,,3
6399,Tincture,1,5839,,,,,,Fire,Boon,,,3
6499,Tincture,1,5849,,,,,,Air,Boon,,,3
6599,Tincture,1,5859,,,,,,Sound,Boon,,,3
6699,Tincture,1,5869,,,,,,Light,Boon,,,3
6799,Tincture,1,5879,,,,,,Thought,Boon,,,3
6190,Tincture,1,5819,,,,,,Earth,Bane,,,3
6290,Tincture,1,5829,,,,,,Water,Bane,,,3
6390,Tincture,1,5839,,,,,,Fire,Bane,,,3
6490,Tincture,1,5849,,,,,,Air,Bane,,,3
6590,Tincture,1,5859,,,,,,Sound,Bane,,,3
6690,Tincture,1,5869,,,,,,Light,Bane,,,3
6790,Tincture,1,5879,,,,,,Thought,Bane,,,3
6199,Tincture,1,5819,,,,,,Earth,Boon,,,4
6299,Tincture,1,5829,,,,,,Water,Boon,,,4
6399,Tincture,1,5839,,,,,,Fire,Boon,,,4
6499,Tincture,1,5849,,,,,,Air,Boon,,,4
6599,Tincture,1,5859,,,,,,Sound,Boon,,,4
6699,Tincture,1,5869,,,,,,Light,Boon,,,4
6799,Tincture,1,5879,,,,,,Thought,Boon,,,4
6190,Tincture,1,5819,,,,,,Earth,Bane,,,4
6290,Tincture,1,5829,,,,,,Water,Bane,,,4
6390,Tincture,1,5839,,,,,,Fire,Bane,,,4
6490,Tincture,1,5849,,,,,,Air,Bane,,,4
6590,Tincture,1,5859,,,,,,Sound,Bane,,,4
6690,Tincture,1,5869,,,,,,Light,Bane,,,4
6790,Tincture,1,5879,,,,,,Thought,Bane,,,4
6189,Tea,1,5183,,,,,,Earth,Boon,,,3
6289,Tea,1,5283,,,,,,Water,Boon,,,3
6389,Tea,1,5383,,,,,,Fire,Boon,,,3
6489,Tea,1,5483,,,,,,Air,Boon,,,3
6589,Tea,1,5583,,,,,,Sound,Boon,,,3
6689,Tea,1,5683,,,,,,Light,Boon,,,3
6789,Tea,1,5783,,,,,,Thought,Boon,,,3
6189,Salve,1,5184,,,,,,Earth,Bane,,,3
6289,Salve,1,5284,,,,,,Water,Bane,,,3
6389,Salve,1,5384,,,,,,Fire,Bane,,,3
6489,Salve,1,5484,,,,,,Air,Bane,,,3
6589,Salve,1,5584,,,,,,Sound,Bane,,,3
6689,Salve,1,5684,,,,,,Light,Bane,,,3
6789,Salve,1,5784,,,,,,Thought,Bane,,,3
6189,Tea,1,5183,,,,,,Earth,Boon,,,4
6289,Tea,1,5283,,,,,,Water,Boon,,,4
6389,Tea,1,5383,,,,,,Fire,Boon,,,4
6489,Tea,1,5483,,,,,,Air,Boon,,,4
6589,Tea,1,5583,,,,,,Sound,Boon,,,4
6689,Tea,1,5683,,,,,,Light,Boon,,,4
6789,Tea,1,5783,,,,,,Thought,Boon,,,4
6189,Salve,1,5184,,,,,,Earth,Bane,,,4
6289,Salve,1,5284,,,,,,Water,Bane,,,4
6389,Salve,1,5384,,,,,,Fire,Bane,,,4
6489,Salve,1,5484,,,,,,Air,Bane,,,4
6589,Salve,1,5584,,,,,,Sound,Bane,,,4
6689,Salve,1,5684,,,,,,Light,Bane,,,4
6789,Salve,1,5784,,,,,,Thought,Bane,,,4
6989,Tea,1,5183,5998,,,,,,Boon,,,
6989,Tea,1,5283,5998,,,,,,Boon,,,
6989,Tea,1,5383,5998,,,,,,Boon,,,
6989,Tea,1,5483,5998,,,,,,Boon,,,
6989,Tea,1,5583,5998,,,,,,Boon,,,
6989,Tea,1,5683,5998,,,,,,Boon,,,
6989,Tea,1,5783,5998,,,,,,Boon,,,
6989,Tincture,1,5184,5999,,,,,,Bane,,,
6989,Tincture,1,5284,5999,,,,,,Bane,,,
6989,Tincture,1,5384,5999,,,,,,Bane,,,
6989,Tincture,1,5484,5999,,,,,,Bane,,,
6989,Tincture,1,5584,5999,,,,,,Bane,,,
6989,Tincture,1,5684,5999,,,,,,Bane,,,
6989,Tincture,1,5784,5999,,,,,,Bane,,,
6989,Decoction,1,5184,5999,,,,,,Bane,,,
6989,Decoction,1,5284,5999,,,,,,Bane,,,
6989,Decoction,1,5384,5999,,,,,,Bane,,,
6989,Decoction,1,5484,5999,,,,,,Bane,,,
6989,Decoction,1,5584,5999,,,,,,Bane,,,
6989,Decoction,1,5684,5999,,,,,,Bane,,,
6989,Decoction,1,5784,5999,,,,,,Bane,,,
6989,Salve,1,5184,5999,,,,,,Bane,,,
6989,Salve,1,5284,5999,,,,,,Bane,,,
6989,Salve,1,5384,5999,,,,,,Bane,,,
6989,Salve,1,5484,5999,,,,,,Bane,,,
6989,Salve,1,5584,5999,,,,,,Bane,,,
